"","team","season","coach_first_name","coach_last_name","coach_aux_1","coach_aux_2","grad_yr"
"2361","Texas A&M","2015-2016","Gary","Blair",NA,NA,"1972"
"2362","Texas Southern","2015-2016","Johnetta","Hayes-Perry",NA,NA,"2004"
"2363","Texas St.","2015-2016","Zenarae","Antoine",NA,NA,"1998"
"2364","Texas Tech","2015-2016","Candi","Whitaker",NA,NA,"2002"
"2365","Toledo","2015-2016","Tricia","Cullop",NA,NA,"1993"
"2366","Towson","2015-2016","Niki","Reid","Geckeler",NA,"1993"
"2367","Troy","2015-2016","Chanda","Rigby",NA,NA,"1990"
"2368","Tulane","2015-2016","Lisa","Stockton",NA,NA,"1986"
"2369","Tulsa","2015-2016","Matilda","Mossman",NA,NA,"1979"
"2370","UAB","2015-2016","Randy","Norton",NA,NA,"1996"
"2371","UC Davis","2015-2016","Jennifer","Gross",NA,NA,"1997"
"2372","UC Irvine","2015-2016","Doug","Oliver",NA,NA,"1973"
"2373","UC Riverside","2015-2016","John","Margaritis",NA,NA,"1982"
"2374","UC Santa Barbara","2015-2016","Bonnie","Henrickson",NA,NA,"1986"
"2375","UCF","2015-2016","Joi","Williams",NA,NA,"1988"
"2376","UCLA","2015-2016","Cori","Close",NA,NA,"1993"
"2377","UConn","2015-2016","Geno","Auriemma",NA,NA,NA
"2378","UIC","2015-2016","Regina","Miller",NA,NA,"1984"
"2379","UMBC","2015-2016","Phil","Stern",NA,NA,"1994"
"2380","UMES","2015-2016","Fred","Batchelor",NA,NA,"1988"
"2381","UMKC","2015-2016","Marsha","Frese",NA,NA,"1994"
"2382","UMass Lowell","2015-2016","Jenerrie","Harris",NA,NA,NA
"2383","UNC Asheville","2015-2016","Brenda","Mock","Kirkpatrick",NA,"2001"
"2384","UNC Greensboro","2015-2016","Wendy","Palmer",NA,NA,"1996"
"2385","UNCW","2015-2016","Adell","Harris",NA,NA,"2002"
"2386","UNI","2015-2016","Tanya","Warren",NA,NA,"1988"
"2387","UNLV","2015-2016","Kathy","Olivier",NA,NA,NA
"2388","USC Upstate","2015-2016","Tammy","George",NA,NA,"1993"
"2389","UT Arlington","2015-2016","Krista","Gerlich",NA,NA,"1993"
"2390","UT Martin","2015-2016","Kevin","McMillan",NA,NA,"1989"
"2391","UTEP","2015-2016","Keitha","Adams",NA,NA,"1989"
"2392","UTRGV","2015-2016","Larry","Tidwell",NA,NA,"1976"
"2393","UTSA","2015-2016","Lubomyr","Lichonczak",NA,NA,"1978"
"2394","Utah","2015-2016","Jerry","Finkbeiner",NA,NA,"1980"
"2395","Utah St.","2015-2016","Jerry","Finkbeiner",NA,NA,"1980"
"2396","Utah Valley","2015-2016","Cathy","Nixon",NA,NA,"1989"
"2397","VCU","2015-2016","Beth","O'Boyle",NA,NA,"1998"
"2398","Valparaiso","2015-2016","Tracey","Dorow",NA,NA,"1996"
"2399","Vanderbilt","2015-2016","Melanie","Balcomb",NA,NA,"1984"
"2400","Vermont","2015-2016","Lori","Gear","McBride",NA,"1997"
"2401","Villanova","2015-2016","Harry","Perretta",NA,NA,NA
"2402","Virginia","2015-2016","Joanne","Boyle",NA,NA,"1985"
"2403","Virginia Tech","2015-2016","Dennis","Wolff",NA,NA,"1978"
"2404","Wagner","2015-2016","Lisa","Cermignano",NA,NA,"1997"
"2405","Wake Forest","2015-2016","Jennifer","Hoover",NA,NA,"1991"
"2406","Washington","2015-2016","June","Daugherty",NA,NA,"1978"
"2407","Washington St.","2015-2016","June","Daugherty",NA,NA,"1978"
"2408","Weber St.","2015-2016","Bethann","Shapiro","Ord",NA,"1989"
"2409","West Virginia","2015-2016","Mike","Carey",NA,NA,"1980"
"2410","Western Caro.","2015-2016","Stephanie","McCormick",NA,NA,"1994"
"2411","Western Ill.","2015-2016","JD","Gravina",NA,NA,"2000"
"2412","Western Ky.","2015-2016","Michelle","Clark-Heard",NA,NA,"1990"
"2413","Western Mich.","2015-2016","Shane","Clipfell",NA,NA,"2006"
"2414","Wichita St.","2015-2016","Jody","Adams",NA,NA,"1994"
"2415","William & Mary","2015-2016","Ed","Swanson",NA,NA,"1989"
"2416","Winthrop","2015-2016","Kevin","Cook",NA,NA,"1983"
"2417","Wisconsin","2015-2016","Bobbie","Kelsey",NA,NA,"1996"
"2418","Wofford","2015-2016","Edgar","Farmer",NA,NA,NA
"2419","Wright St.","2015-2016","Michael","Bradbury",NA,NA,"1993"
"2420","Wyoming","2015-2016","Joe","Legerski",NA,NA,"1979"
"2421","Xavier","2015-2016","Brian","Neal",NA,NA,"1991"
"2422","Yale","2015-2016","Allison","Guth",NA,NA,"2004"
"2423","Youngstown St.","2015-2016","John","Barnes",NA,NA,"1995"
"2424","A&M-Corpus Christi","2016-2017","Royce","Chadwick",NA,NA,"1980"
"2425","Abilene Christian","2016-2017","Julie","Goodenough",NA,NA,"1991"
"2426","Air Force","2016-2017","Chris","Gobrecht",NA,NA,"1977"
"2427","Akron","2016-2017","Jodi","Kest",NA,NA,"1984"
"2428","Alabama","2016-2017","Kristy","Curry",NA,NA,"1988"
"2429","Alabama A&M","2016-2017","Semeka","Randall",NA,NA,"2000"
"2430","Alabama St.","2016-2017","Freda","Freeman-Jackson",NA,NA,"1984"
"2431","Albany (NY)","2016-2017","Joanna","Bernabei-McNamee",NA,NA,"1997"
"2432","Alcorn","2016-2017","Courtney","Pruitt",NA,NA,NA
"2433","American","2016-2017","Megan","Gebbia",NA,NA,"1994"
"2434","Appalachian St.","2016-2017","Angel","Elderkin",NA,NA,"1999"
"2435","Arizona","2016-2017","Adia","Barnes",NA,NA,"1998"
"2436","Arizona St.","2016-2017","Charli","Turner","Thorne",NA,"88"
"2437","Ark.-Pine Bluff","2016-2017","Nate","Kilbert",NA,NA,"1987"
"2438","Arkansas","2016-2017","Jimmy","Dykes",NA,NA,"1985"
"2439","Arkansas St.","2016-2017","Brian","Boyer",NA,NA,"1993"
"2440","Army West Point","2016-2017","Dave","Magarity",NA,NA,"1974"
"2441","Auburn","2016-2017","Terri","Williams-Flournoy",NA,NA,"1991"
"2442","Austin Peay","2016-2017","David","Midlick",NA,NA,"1991"
"2443","BYU","2016-2017","Jeff","Judkins",NA,NA,"1978"
"2444","Ball St.","2016-2017","Brady","Sallee",NA,NA,"1993"
"2445","Baylor","2016-2017","Kim","Mulkey",NA,NA,"1984"
"2446","Belmont","2016-2017","Cameron","Newbauer",NA,NA,"2001"
"2447","Bethune-Cookman","2016-2017","Vanessa","Blair-Lewis",NA,NA,"1992"
"2448","Binghamton","2016-2017","Linda","Cimino",NA,NA,"2001"
"2449","Boise St.","2016-2017","Gordy","Presnell",NA,NA,"1983"
"2450","Boston College","2016-2017","Erik","Johnson",NA,NA,"1994"
"2451","Boston U.","2016-2017","Katy","Steding",NA,NA,"1990"
"2452","Bowling Green","2016-2017","Jennifer","Roos",NA,NA,"1993"
"2453","Bradley","2016-2017","Andrea","Gorski",NA,NA,"1992"
"2454","Brown","2016-2017","Sarah","Behn",NA,NA,"1993"
"2455","Bryant","2016-2017","Mary","Burke",NA,NA,"1987"
"2456","Bucknell","2016-2017","Aaron","Roussell",NA,NA,"2001"
"2457","Buffalo","2016-2017","Felisha","Legette-Jack",NA,NA,"1989"
"2458","Butler","2016-2017","Kurt","Godlevske",NA,NA,"1994"
"2459","CSU Bakersfield","2016-2017","Greg","McCall",NA,NA,"1991"
"2460","CSUN","2016-2017","Jason","Flowers",NA,NA,"2003"
"2461","Cal Poly","2016-2017","Faith","Mimnaugh",NA,NA,"1985"
"2462","Cal St. Fullerton","2016-2017","Daron","Park",NA,NA,"1994"
"2463","California","2016-2017","Lindsay","Gottlieb",NA,NA,"1999"
"2464","Campbell","2016-2017","Ronny","Fisher",NA,NA,"1990"
"2465","Canisius","2016-2017","Terry","Zeh",NA,NA,"1990"
"2466","Central Ark.","2016-2017","Sandra","Rushing",NA,NA,"86"
"2467","Central Conn. St.","2016-2017","Beryl","Piper",NA,NA,"1987"
"2468","Central Mich.","2016-2017","Sue","Guevara",NA,NA,"1982"
"2469","Charleston So.","2016-2017","Fred","Applin",NA,NA,"1985"
"2470","Charlotte","2016-2017","Cara","Consuegra",NA,NA,"2001"
"2471","Chattanooga","2016-2017","Jim","Foster",NA,NA,"1980"
"2472","Chicago St.","2016-2017","Angela","Jackson",NA,NA,"1991"
"2473","Cincinnati","2016-2017","Jamelle","Elliott",NA,NA,NA
"2474","Clemson","2016-2017","Audra","Smith",NA,NA,"1992"
"2475","Cleveland St.","2016-2017","Kate","Peterson","Abiad",NA,"1991"
"2476","Coastal Caro.","2016-2017","Jaida","Williams",NA,NA,"2005"
"2477","Col. of Charleston","2016-2017","Candice","Jackson",NA,NA,"2004"
"2478","Colgate","2016-2017","Bill","Cleary",NA,NA,"1998"
"2479","Colorado","2016-2017","JR","Payne",NA,NA,"1999"
"2480","Colorado St.","2016-2017","Ryun","Williams",NA,NA,"1992"
"2481","Columbia","2016-2017","Megan","Griffith",NA,NA,"2007"
"2482","Coppin St.","2016-2017","DeWayne","Burroughs",NA,NA,NA
"2483","Cornell","2016-2017","Dayna","Smith",NA,NA,"1996"
"2484","Creighton","2016-2017","Jim","Flanery",NA,NA,"1987"
"2485","Dartmouth","2016-2017","Belle","Koclanes",NA,NA,"2002"
"2486","Davidson","2016-2017","Michele","Savage",NA,NA,"1993"
"2487","Dayton","2016-2017","Shauna","Green",NA,NA,"2002"
"2488","DePaul","2016-2017","Doug","Bruno",NA,NA,"1973"
"2489","Delaware","2016-2017","Tina","Martin",NA,NA,"1986"
"2490","Delaware St.","2016-2017","Barbara","Burgess",NA,NA,"90"
"2491","Denver","2016-2017","Kerry","Cremeans",NA,NA,NA
"2492","Detroit Mercy","2016-2017","Bernard","Scott",NA,NA,"2001"
"2493","Drake","2016-2017","Jennie","Baranczyk",NA,NA,"2004"
"2494","Drexel","2016-2017","Denise","Dillon",NA,NA,"1996"
"2495","Duke","2016-2017","Joanne","P.","McCallie",NA,"1987"
"2496","Duquesne","2016-2017","Dan","Burt",NA,NA,"1993"
"2497","ETSU","2016-2017","Brittney","Ezell",NA,NA,"1999"
"2498","East Carolina","2016-2017","Heather","Macy",NA,NA,"2000"
"2499","Eastern Ill.","2016-2017","Debbie","Black",NA,NA,"1988"
"2500","Eastern Ky.","2016-2017","Chrissy","Roberts",NA,NA,"1998"
"2501","Eastern Mich.","2016-2017","Fred","Castro",NA,NA,"2004"
"2502","Eastern Wash.","2016-2017","Wendy","Schuller",NA,NA,"1992"
"2503","Elon","2016-2017","Charlotte","Smith",NA,NA,"1995"
"2504","Evansville","2016-2017","Oties","Epps",NA,NA,"2016"
"2505","FGCU","2016-2017","Karl","Smesko",NA,NA,"1993"
"2506","FIU","2016-2017","Tiara","Malcom",NA,NA,"2005"
"2507","Fairfield","2016-2017","Joe","Frager",NA,NA,NA
"2508","Fairleigh Dickinson","2016-2017","Peter","Cinella",NA,NA,"1990"
"2509","Fla. Atlantic","2016-2017","Kellie","Lewis-Jay",NA,NA,"1998"
"2510","Florida","2016-2017","Amanda","Butler",NA,NA,"1995"
"2511","Florida A&M","2016-2017","LeDawn","Gibson",NA,NA,"2000"
"2512","Florida St.","2016-2017","Sue","Semrau",NA,NA,"1985"
"2513","Fordham","2016-2017","Stephanie","Gaitley",NA,NA,"1982"
"2514","Fresno St.","2016-2017","Jaime","White",NA,NA,"1994"
"2515","Furman","2016-2017","Jackie","Smith","Carson",NA,"2001"
"2516","Ga. Southern","2016-2017","Kip","Drown",NA,NA,"77"
"2517","Gardner-Webb","2016-2017","Rick","Reeves",NA,NA,"1981"
"2518","George Mason","2016-2017","Nyla","Milleson",NA,NA,"1985"
"2519","George Washington","2016-2017","Jennifer","Rizzotti",NA,NA,"1996"
"2520","Georgetown","2016-2017","Natasha","Adair",NA,NA,"1994"
"2521","Georgia","2016-2017","Joni","Taylor",NA,NA,"2002"
"2522","Georgia St.","2016-2017","Sharon","Baldwin",NA,NA,"1991"
"2523","Georgia Tech","2016-2017","MaChelle","Joseph",NA,NA,"1992"
"2524","Gonzaga","2016-2017","Lisa","Fortier",NA,NA,"2004"
"2525","Grambling","2016-2017","Freddie","Murray",NA,NA,"1990"
"2526","Grand Canyon","2016-2017","Trent","May",NA,NA,"1995"
"2527","Green Bay","2016-2017","Kevin","Borseth",NA,NA,"1976"
"2528","Hampton","2016-2017","David","Six",NA,NA,"2009"
"2529","Hartford","2016-2017","Kim","McNeill",NA,NA,"2000"
"2530","Harvard","2016-2017","Kathleen","Delaney-Smith",NA,NA,"1971"
"2531","Hawaii","2016-2017","Laura","Beeman",NA,NA,"1992"
"2532","High Point","2016-2017","DeUnna","Hendrix",NA,NA,"2007"
"2533","Hofstra","2016-2017","Krista","Kilburn-Steveskey",NA,NA,"1990"
"2534","Holy Cross","2016-2017","Bill","Gibbons","Jr.",NA,"1981"
"2535","Houston","2016-2017","Ronald","Hughey",NA,NA,"2006"
"2536","Houston Baptist","2016-2017","Donna","Finnie",NA,NA,"1998"
"2537","Howard","2016-2017","Ty","Grace",NA,NA,"1999"
"2538","IUPUI","2016-2017","Austin","Parkinson",NA,NA,"2004"
"2539","Idaho","2016-2017","Jon","Newlee",NA,NA,"1982"
"2540","Idaho St.","2016-2017","Seton","Sobolewski",NA,NA,"2001"
"2541","Illinois","2016-2017","Matt","Bollant",NA,NA,"1994"
"2542","Illinois St.","2016-2017","Barb","Smith",NA,NA,"1986"
"2543","Incarnate Word","2016-2017","Christy","Smith",NA,NA,"1998"
"2544","Indiana","2016-2017","Teri","Moren",NA,NA,"1992"
"2545","Indiana St.","2016-2017","Joey","Wells",NA,NA,"1996"
"2546","Iona","2016-2017","Billi","Chambers",NA,NA,"2003"
"2547","Iowa","2016-2017","Lisa","Bluder",NA,NA,"1983"
"2548","Iowa St.","2016-2017","Bill","Fennelly",NA,NA,"1979"
"2549","Jackson St.","2016-2017","Surina","Dixon",NA,NA,"1983"
"2550","Jacksonville","2016-2017","Yolett","McPhee-McCuin",NA,NA,"2004"
"2551","Jacksonville St.","2016-2017","Rick","Pietri",NA,NA,"1987"
"2552","James Madison","2016-2017","Sean","O'Reagan",NA,NA,"2003"
"2553","Kansas","2016-2017","Brandon","Schneider",NA,NA,"1995"
"2554","Kansas St.","2016-2017","Jeff","Mittie",NA,NA,"1989"
"2555","Kennesaw St.","2016-2017","Agnus","Berenato",NA,NA,"1980"
"2556","Kent St.","2016-2017","Todd","Starkey",NA,NA,"1993"
"2557","Kentucky","2016-2017","Matthew","Mitchell",NA,NA,"1995"
"2558","LIU Brooklyn","2016-2017","Stephanie","Del","Preore",NA,"2004"
"2559","LSU","2016-2017","Nikki","Fargas",NA,NA,"1994"
"2560","La Salle","2016-2017","Jeff","Williams",NA,NA,"1987"
"2561","La.-Monroe","2016-2017","Jeff","Dow",NA,NA,"1989"
"2562","Lafayette","2016-2017","Theresa","Grentz",NA,NA,"1974"
"2563","Lamar University","2016-2017","Robin","Harmony",NA,NA,"1984"
"2564","Lehigh","2016-2017","Sue","Troyan",NA,NA,"1988"
"2565","Liberty","2016-2017","Carey","Green",NA,NA,"1979"
"2566","Lipscomb","2016-2017","Greg","Brown",NA,NA,"1993"
"2567","Little Rock","2016-2017","Joe","Foley",NA,NA,"1979"
"2568","Long Beach St.","2016-2017","Jody","Wynn",NA,NA,"1996"
"2569","Longwood","2016-2017","Bill","Reinson",NA,NA,NA
"2570","Louisiana","2016-2017","Garry","Brodhead",NA,NA,NA
"2571","Louisiana Tech","2016-2017","Brooke","Stoehr",NA,NA,"2002"
"2572","Louisville","2016-2017","Jeff","Walz",NA,NA,"1995"
"2573","Loyola Chicago","2016-2017","Kate","Achter",NA,NA,"2008"
"2574","Loyola Maryland","2016-2017","Joe","Logan",NA,NA,"1996"
"2575","Loyola Marymount","2016-2017","Charity","Elliott",NA,NA,"1992"
"2576","Maine","2016-2017","Amy","Vachon",NA,NA,"2017"
"2577","Manhattan","2016-2017","Heather","Vulin",NA,NA,"1999"
"2578","Marist","2016-2017","Brian","Giorgis",NA,NA,"1977"
"2579","Marquette","2016-2017","Carolyn","Kieger",NA,NA,"2006"
"2580","Marshall","2016-2017","Matt","Daniel",NA,NA,"1998"
"2581","Maryland","2016-2017","Tory","Verdi",NA,NA,"1996"
"2582","Massachusetts","2016-2017","Tory","Verdi",NA,NA,"1996"
"2583","McNeese","2016-2017","Kacie","Cryer",NA,NA,"2008"
"2584","Memphis","2016-2017","Melissa","McFerrin",NA,NA,"1983"
"2585","Mercer","2016-2017","Susie","Gardner",NA,NA,"1986"
"2586","Miami (FL)","2016-2017","Katie","Meier",NA,NA,"1990"
"2587","Miami (OH)","2016-2017","Cleve","Wright",NA,NA,"1989"
"2588","Michigan","2016-2017","Kim","Barnes","Arico",NA,"1993"
"2589","Michigan St.","2016-2017","Suzy","Merchant",NA,NA,"1991"
"2590","Middle Tenn.","2016-2017","Rick","Insell",NA,NA,"1977"
"2591","Milwaukee","2016-2017","Kyle","Rechlicz",NA,NA,"2003"
"2592","Minnesota","2016-2017","Marlene","Stollings",NA,NA,"1998"
"2593","Mississippi St.","2016-2017","Vic","Schaefer",NA,NA,"1984"
"2594","Mississippi Val.","2016-2017","Jessica","Kern",NA,NA,NA
"2595","Missouri","2016-2017","Robin","Pingeton",NA,NA,"1990"
"2596","Missouri St.","2016-2017","Kellie","Harper",NA,NA,NA
"2597","Monmouth","2016-2017","Jenny","Palmateer",NA,NA,"1993"
"2598","Montana","2016-2017","Shannon","Schweyen",NA,NA,"1993"
"2599","Montana St.","2016-2017","Tricia","Binford",NA,NA,"1995"
"2600","Morehead St.","2016-2017","Greg","Todd",NA,NA,NA
"2601","Morgan St.","2016-2017","Edward","Davis",NA,NA,"1970"
"2602","Mount St. Mary's","2016-2017","Bryan","Whitten",NA,NA,"1991"
"2603","Murray St.","2016-2017","Rob","Cross",NA,NA,"1991"
"2604","N.C. A&T","2016-2017","Tarrell","Robinson",NA,NA,"2001"
"2605","N.C. Central","2016-2017","Vanessa","Taylor",NA,NA,"1991"
"2606","NC State","2016-2017","Wes","Moore",NA,NA,"1986"
"2607","NJIT","2016-2017","Steve","Lanpher",NA,NA,NA
"2608","Navy","2016-2017","Stefanie","Pemper",NA,NA,"92"
"2609","Nebraska","2016-2017","Amy","Williams",NA,NA,"1998"
"2610","Nevada","2016-2017","Jane","Albright",NA,NA,"1977"
"2611","New Hampshire","2016-2017","Maureen","Magarity",NA,NA,"2003"
"2612","New Mexico","2016-2017","Michael","Bradbury",NA,NA,"1993"
"2613","New Mexico St.","2016-2017","Mark","Trakh",NA,NA,"1981"
"2614","New Orleans","2016-2017","Keeshawn","Davenport",NA,NA,"2001"
"2615","Niagara","2016-2017","Jada","Pierce",NA,NA,NA
"2616","Nicholls St.","2016-2017","DoBee","Plaisance",NA,NA,NA
"2617","Norfolk St.","2016-2017","Larry","Vickers",NA,NA,"2007"
"2618","North Carolina","2016-2017","Sylvia","Hatchell",NA,NA,"1974"
"2619","North Dakota","2016-2017","Travis","Brewster",NA,NA,"1994"
"2620","North Dakota St.","2016-2017","Maren","Walseth",NA,NA,"2002"
"2621","North Florida","2016-2017","Darrick","Gibbs",NA,NA,"2000"
"2622","North Texas","2016-2017","Jalie","Mitchell",NA,NA,"2002"
"2623","Northeastern","2016-2017","Kelly","Cole",NA,NA,"1991"
"2624","Northern Ariz.","2016-2017","Robyne","Bostick",NA,NA,"1993"
"2625","Northern Colo.","2016-2017","Kamie","Ethridge",NA,NA,NA
"2626","Northern Ill.","2016-2017","Lisa","Carlsen",NA,NA,"1992"
"2627","Northern Ky.","2016-2017","Camryn","Whitaker",NA,NA,NA
"2628","Northwestern","2016-2017","Joe","McKeown",NA,NA,"1979"
"2629","Northwestern St.","2016-2017","Jordan","Dupuy",NA,NA,"2003"
"2630","Notre Dame","2016-2017","Muffet","McGraw",NA,NA,"1977"
"2631","Oakland","2016-2017","Jeff","Tungate",NA,NA,"1993"
"2632","Ohio","2016-2017","Bob","Boldon",NA,NA,"1997"
"2633","Ohio St.","2016-2017","Kevin","McGuff",NA,NA,"1992"
"2634","Oklahoma","2016-2017","Sherri","Coale",NA,NA,"1987"
"2635","Oklahoma St.","2016-2017","Jim","Littell",NA,NA,"1977"
"2636","Old Dominion","2016-2017","Karen","Barefoot",NA,NA,"1995"
"2637","Ole Miss","2016-2017","Matt","Insell",NA,NA,NA
"2638","Omaha","2016-2017","Brittany","Lange",NA,NA,"2010"
"2639","Oral Roberts","2016-2017","Misti","Cussen",NA,NA,"1993"
"2640","Oregon","2016-2017","Kelly","Graves",NA,NA,"1988"
"2641","Oregon St.","2016-2017","Scott","Rueck",NA,NA,"1991"
"2642","Pacific","2016-2017","Bradley","Davis",NA,NA,"1995"
"2643","Penn","2016-2017","Mike","McLaughlin",NA,NA,"1991"
"2644","Penn St.","2016-2017","Coquese","Washington",NA,NA,"1993"
"2645","Pepperdine","2016-2017","Ryan","Weisenberg",NA,NA,"1997"
"2646","Pittsburgh","2016-2017","Suzie","McConnell-Serio",NA,NA,"1988"
"2647","Portland","2016-2017","Cheryl","Sorenson",NA,NA,"2003"
"2648","Portland St.","2016-2017","Lynn","Kennedy",NA,NA,"1995"
"2649","Prairie View","2016-2017","Ravon","Justice",NA,NA,"2004"
"2650","Presbyterian","2016-2017","Todd","Steelman",NA,NA,"1989"
"2651","Princeton","2016-2017","Courtney","Banghart",NA,NA,"2000"
"2652","Providence","2016-2017","Jim","Crowley",NA,NA,"1993"
"2653","Purdue","2016-2017","Sharon","Versyp",NA,NA,"1989"
"2654","Purdue Fort Wayne","2016-2017","Niecee","Nelson",NA,NA,NA
"2655","Quinnipiac","2016-2017","Tricia","Fabbri",NA,NA,"1991"
"2656","Radford","2016-2017","Mike","McGuire",NA,NA,"2000"
"2657","Rhode Island","2016-2017","Daynia","LaForce-Mann",NA,NA,"1995"
"2658","Rice","2016-2017","Tina","Langley",NA,NA,"1996"
"2659","Richmond","2016-2017","Michael","Shafer",NA,NA,"1994"
"2660","Rider","2016-2017","Lynn","Milligan",NA,NA,"1992"
"2661","Robert Morris","2016-2017","Charlie","Buscaglia",NA,NA,"2003"
"2662","Rutgers","2016-2017","C.","Vivian","Stringer",NA,"1970"
"2663","SFA","2016-2017","Mark","Kellogg",NA,NA,"1998"
"2664","SIUE","2016-2017","Paula","Buscher",NA,NA,"1986"
"2665","SMU","2016-2017","Travis","Mays",NA,NA,"1990"
"2666","Sacramento St.","2016-2017","Bunky","Harkleroad",NA,NA,"1993"
"2667","Sacred Heart","2016-2017","Jessica","Mannetti",NA,NA,"2001"
"2668","Saint Francis (PA)","2016-2017","Joe","Haigh",NA,NA,"1995"
"2669","Saint Joseph's","2016-2017","Cindy","Griffin",NA,NA,"1991"
"2670","Saint Louis","2016-2017","Lisa","Stone",NA,NA,"1984"
"2671","Saint Mary's (CA)","2016-2017","Paul","Thomas",NA,NA,"1986"
"2672","Saint Peter's","2016-2017","Pat","Coyle",NA,NA,"1982"
"2673","Sam Houston St.","2016-2017","Brenda","Welch-Nichols",NA,NA,"1989"
"2674","Samford","2016-2017","Mike","Morris",NA,NA,"1992"
"2675","San Diego","2016-2017","Cindy","Fisher",NA,NA,"1988"
"2676","San Diego St.","2016-2017","Stacie","Terry",NA,NA,"1998"
"2677","San Francisco","2016-2017","Molly","Goodenbour",NA,NA,"1993"
"2678","San Jose St.","2016-2017","Jamie","Craighead",NA,NA,"2002"
"2679","Santa Clara","2016-2017","Bill","Carr",NA,NA,"1992"
"2680","Savannah St.","2016-2017","Cedric","Baker",NA,NA,"1990"
"2681","Seattle U","2016-2017","Suzy","Barcomb",NA,NA,"1986"
"2682","Seton Hall","2016-2017","Tony","Bozzella",NA,NA,"1989"
"2683","Siena","2016-2017","Ali","Jaques",NA,NA,"1998"
"2684","South Alabama","2016-2017","Terry","Fowler",NA,NA,"1986"
"2685","South Carolina","2016-2017","Dawn","Staley",NA,NA,"1992"
"2686","South Carolina St.","2016-2017","Douglas","Robertson",NA,NA,"1995"
"2687","South Dakota","2016-2017","Dawn","Plitzuweit",NA,NA,"1995"
"2688","South Dakota St.","2016-2017","Aaron","Johnston",NA,NA,"1996"
"2689","South Fla.","2016-2017","Jose","Fernandez",NA,NA,"1994"
"2690","Southeast Mo. St.","2016-2017","Rekha","Patterson",NA,NA,"2001"
"2691","Southeastern La.","2016-2017","Errol","Gauff",NA,NA,NA
"2692","Southern California","2016-2017","Cynthia","Cooper",NA,NA,"2005"
"2693","Southern Ill.","2016-2017","Cindy","Stein",NA,NA,"1983"
"2694","Southern Miss.","2016-2017","Joye","Lee-McNelis",NA,NA,"1984"
"2695","Southern U.","2016-2017","Sandy","Pugh",NA,NA,"1987"
"2696","Southern Utah","2016-2017","Chris","Boettcher",NA,NA,"1994"
"2697","St. Bonaventure","2016-2017","Jesse","Fleming",NA,NA,"2005"
"2698","St. Francis Brooklyn","2016-2017","John","Thurston",NA,NA,"1970"
"2699","St. John's (NY)","2016-2017","Joe","Tartamella",NA,NA,"2001"
"2700","Stanford","2016-2017","Tara","VanDerveer",NA,NA,"1975"
"2701","Stetson","2016-2017","Lynn","Bria",NA,NA,"1990"
"2702","Stony Brook","2016-2017","Caroline","McCombs",NA,NA,"1998"
"2703","Syracuse","2016-2017","Quentin","Hillsman",NA,NA,"1993"
"2704","TCU","2016-2017","Raegan","Pebley",NA,NA,NA
"2705","Temple","2016-2017","Tonya","Cardoza",NA,NA,NA
"2706","Tennessee","2016-2017","Holly","Warlick",NA,NA,"1981"
"2707","Tennessee St.","2016-2017","Larry","Inman",NA,NA,"1970"
"2708","Tennessee Tech","2016-2017","Kim","Rosamond",NA,NA,"1998"
"2709","Texas","2016-2017","Gary","Blair",NA,NA,"1972"
"2710","Texas A&M","2016-2017","Gary","Blair",NA,NA,"1972"
"2711","Texas Southern","2016-2017","Johnetta","Hayes-Perry",NA,NA,"2004"
"2712","Texas St.","2016-2017","Zenarae","Antoine",NA,NA,"1998"
"2713","Texas Tech","2016-2017","Candi","Whitaker",NA,NA,"2002"
"2714","Toledo","2016-2017","Tricia","Cullop",NA,NA,"1993"
"2715","Towson","2016-2017","Niki","Reid","Geckeler",NA,"1993"
"2716","Troy","2016-2017","Chanda","Rigby",NA,NA,"1990"
"2717","Tulane","2016-2017","Lisa","Stockton",NA,NA,"1986"
"2718","Tulsa","2016-2017","Matilda","Mossman",NA,NA,"1979"
"2719","UAB","2016-2017","Randy","Norton",NA,NA,"1996"
"2720","UC Davis","2016-2017","Jennifer","Gross",NA,NA,"1997"
"2721","UC Irvine","2016-2017","Tamara","Inoue",NA,NA,"2002"
"2722","UC Riverside","2016-2017","John","Margaritis",NA,NA,"1982"
"2723","UC Santa Barbara","2016-2017","Bonnie","Henrickson",NA,NA,"1986"
"2724","UCF","2016-2017","Katie","Abrahamson-Henderson",NA,NA,"1990"
"2725","UCLA","2016-2017","Cori","Close",NA,NA,"1993"
"2726","UConn","2016-2017","Geno","Auriemma",NA,NA,NA
"2727","UIC","2016-2017","Regina","Miller",NA,NA,"1984"
"2728","UMBC","2016-2017","Phil","Stern",NA,NA,"1994"
"2729","UMES","2016-2017","Fred","Batchelor",NA,NA,"1988"
"2730","UMKC","2016-2017","Marsha","Frese",NA,NA,"1994"
"2731","UMass Lowell","2016-2017","Jenerrie","Harris",NA,NA,NA
"2732","UNC Asheville","2016-2017","Brenda","Mock","Kirkpatrick",NA,"2001"
"2733","UNC Greensboro","2016-2017","Trina","Patterson",NA,NA,"1987"
"2734","UNCW","2016-2017","Adell","Harris",NA,NA,"2002"
"2735","UNI","2016-2017","Tanya","Warren",NA,NA,"1988"
"2736","UNLV","2016-2017","Kathy","Olivier",NA,NA,NA
"2737","USC Upstate","2016-2017","Tammy","George",NA,NA,"1993"
